name,date,rating,review_text
Ms Nana,"Reviewed in the United States on May 15, 2024","5.0 out of 5 stars
Excellent coverage of topics",These books from Lumos Learning have been very helpful in preparing my daughter for NJSLA. I bought Maths review book for 4th grade and planning to buy for 5th grade as well.
Madhu,"Reviewed in the United States on October 20, 2023","4.0 out of 5 stars
Good book for kids",This book really helped my kid to prepare for NJSLA
Pinky Samat,"Reviewed in the United States on February 22, 2024","5.0 out of 5 stars
Excellent preparation for NJSLA Math","This book is a great resource for NJSLA preparation.  Individual skill drills and practice tests, both are great tools. The question types prepare the student adequately to perform well on the test."
shikha,"Reviewed in the United States on February 24, 2024","5.0 out of 5 stars
A very Useful book","It’s a perfect book to Study for njsla,helped us last year too for the preparation and would definitely recommend it."
Ma,"Reviewed in the United States on January 1, 2024","5.0 out of 5 stars
Excellent review book",These books are very helpful. They offer a good review for the NJSLA tests. O bought the Maths review books for 4th and 5th grade and planning to get them every year.
Mayank,"Reviewed in the United States on August 24, 2023","4.0 out of 5 stars
Helpful Tool to practice for NJSLA",Extremely useful book for practice for NJSLA preparations
Ketki,"Reviewed in the United States on January 20, 2024","5.0 out of 5 stars
Good book for njsla",Help kids for practice
Prag,"Reviewed in the United States on November 16, 2023","5.0 out of 5 stars
Best Book for the Exam Prep",This gave the correct guidance to my kid to prepare for the exam and become familiar with different problem-solving skills. Highly recommend.
JLC,"Reviewed in the United States on October 7, 2023","5.0 out of 5 stars
Great resource",This is a great way to prep for the NJSLA exam. Lots of tools also available online to supplement the kids’ learning and understanding of the problems.
NJ Investor,"Reviewed in the United States on November 16, 2023","5.0 out of 5 stars
It was helpful",This helped my kid prepare for NJSLA a lot.
